Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
nail painting + mocktails ,MacGregor House,G Entry,G Entry Main Lounge,8/27/2024 21:00,8/27/2024 22:30,paint your nails and gossip with the gentry gays 💅,Social,TRUE
MacGregor Dessert Party,MacGregor House,,MacGregor Dining Room,8/27/2024 22:00,8/27/2024 23:59,Looking to enjoy some nice desserts on a warm August night? Welcome to MacG's dessert party!,Signature,TRUE
Sunset Sips and Boba Bliss,MacGregor House,A Entry,A Entry Main Lounge,8/28/2024 19:00,8/28/2024 21:00,Come drink boba and watch the sunset with A entry.,Social,TRUE
Brownie Jenga,MacGregor House,J Entry,J Entry Main Lounge,8/28/2024 19:00,8/28/2024 21:00,"It’s Jenga (yay!) With Brownies! (huh?) Build a tower of questionable edibility! Impress your friends with your mastery of brownie mechanics! We can’t promise this is sensible, but we CAN promise yummy fun.","Social, Games",TRUE
Penthouse Artisan Affair,MacGregor House,A Entry,A Entry Main Lounge,8/29/2024 10:00,8/29/2024 12:00,Crafts & snacks at the top of MacGregor.,"Social, Art",TRUE
Maseeh Smoothie Social,Maseeh Hall,,Maseeh Lobby/Courtyard,8/25/2024 12:00,8/25/2024 13:00,Join us for a refreshing break at the Maseeh Smoothie Social! Swing by around lunchtime to blend up some delicious smoothies and cool down from the summer heat. It's the perfect opportunity to refresh yourself and meet new friends from our dorm. ,"Food, Social",TRUE
Maseeh Waffle Night,Maseeh Hall,,Maseeh Courtyard,8/25/2024 20:00,8/25/2024 22:00,"Indulge in the ultimate nighttime treat at Maseeh Hall's Signature Waffle Night! Join us for an evening of delicious, freshly-made waffles with all your favorite toppings. Come for the waffles, stay for the great company, and make some new friends along the way.","Signature, Food, Party, Games",TRUE
Maseeh Building Tour 1,Maseeh Hall,,Maseeh Lobby,8/26/2024 10:00,8/26/2024 11:00,"Join us for an informative and fun walkthrough of our amazing dorm. You'll get to see all the key spots, learn about the building's unique features, and find out why Maseeh Hall is such a great place to live. ",Tour,TRUE
Maseeh Ice Cream Party,Maseeh Hall,,Maseeh Lobby/Courtyard,8/26/2024 14:30,8/26/2024 15:30,Cool off and treat yourself at the Maseeh Hall Ice Cream Party! It's the perfect way to beat the heat and indulge in some sweet treats while mingling with fellow dorm mates.,"Food, Social",TRUE
Maseeh Hot Ones,Maseeh Hall,,Maseeh Lobby/Courtyard,8/26/2024 19:00,8/26/2024 20:00,"Are you ready to turn up the heat? Join us for the Maseeh Hot Ones Night! It’s a fiery fun event where you can challenge your friends, enjoy some laughs, and see who can handle the heat. ","Food, Social",TRUE
Maseeh Breakfast & Chat,Maseeh Hall,,Maseeh Lobby,8/26/2024 9:00,8/26/2024 10:00,Kickstart your day with a cozy and relaxed Maseeh Breakfast & Chat! It's the perfect way to fuel up for the day ahead while making new connections in a laid-back setting.,"Food, Social",TRUE
Maseeh Building Tour 2,Maseeh Hall,,Maseeh Lobby/Courtyard,8/27/2024 12:00,8/27/2024 13:00,"Discover the heart of Maseeh Hall with our Dorm Building Tour! Join us for an informative and fun walkthrough of our amazing dorm. You'll get to see all the key spots, learn about the building's unique features, and find out why Maseeh Hall is such a great place to live.",Tour,TRUE
"Ping Pong, Pool, & Pizza",Maseeh Hall,,Maseeh Game Room (Lower Level),8/27/2024 19:00,8/27/2024 20:00,"Come join us for a night of fun and games at the Ping Pong, Pool, and Pizza Night in the Maseeh Game Room! Whether you're a game enthusiast or just in it for the pizza, there's something for everyone. ","Food, Social, Games",TRUE
Maseeh Boba & Botany,Maseeh Hall,,Maseeh Lobby ,8/28/2024 19:00,8/28/2024 20:00,"Whether you're an artist or a plant enthusiast (or both!), this event is perfect for you. Sip on some tasty boba tea while you design your unique pot and take home a new leafy friend. It's a great way to unwind, get crafty, and meet new people. ","Food, Social, Art",TRUE
MCC chickens & mochi donuts,McCormick Hall,,McCormick Green Living Room,8/24/2024 20:30,8/24/2024 22:00,"Missed dinner? No worries! Come join us for ALL types of chicken - wings, nuggets, tenders, korean chicken, vegetarian options will be provided!","Food, Social",TRUE
Taste of Cambridge,McCormick Hall,,McCormick Front Lawn,8/25/2024 12:00,8/25/2024 14:00,"Hungry but don’t know where to go in Cambridge? We got you! We bring you delicious food from the finest dining establishments around. Though we don’t recommend you mix all the flavors together, we do recommend that you come and stuff your face!","Food, Social",TRUE
McCormick Tours,McCormick Hall,,Meet at Lobby,8/25/2024 15:00,8/25/2024 17:00,"Get an insider tour of McCormick, including the Penthouse, Dance Studio, Craft Room, Country Kitchen, Gym, and more!",Tour,TRUE
Smoothies and Game Night,McCormick Hall,,McCormick Game Room,8/25/2024 20:30,8/25/2024 22:30,"Enjoy some fresh fruit smoothies while playing your favorite games in the infamous MCC game room (puzzles, cards, board games, etc)","Food, Social, Games",TRUE
McCormick Tours,McCormick Hall,,Meet at Lobby,8/26/2024 14:00,8/26/2024 15:00,"Get an insider tour of McCormick, including the Penthouse, Dance Studio, Craft Room, Country Kitchen, Gym, and more!",Tour,TRUE
Night Carnival,McCormick Hall,,McCormick Front Lawn,8/26/2024 20:00,8/26/2024 23:00,"Games and PRIZES GALORE! Cotton candy, popcorn, and more! We're having a GIANT CARNIVAL BASH, and we're giving away so much food & prizes!! (Bring your friends!)","Food, Social, Games",TRUE
Great McCormick Baking Show,McCormick Hall,,McCormick Front Lawn,8/27/2024 11:30,8/27/2024 15:00,"Show off your cake-decorating skills at McCormick’s very own cake-off! We’ll bring the cakes, you bring the friends!","Food, Social",TRUE
McCormick Tours,McCormick Hall,,Meet in Lobby,8/27/2024 19:00,8/27/2024 21:00,"Get an insider tour of McCormick, including the Penthouse, Dance Studio, Craft Room, Country Kitchen, Gym, and more!",Tour,TRUE
Late Night Snacking,McCormick Hall,,McCormick Green Living Room,8/27/2024 23:00,8/28/2024 0:30,"Get ready to indulge in a night of delicious college comfort foods at our late-night snacking extravaganza! Join us for a night full of ramen, mac and cheese, and popcorn!","Food, Social",TRUE
Penthouse Party,McCormick Hall,,McCormick East Penthouse,8/28/2024 22:00,8/29/2024 1:00,"Take pics with the Boston Skyline at Night, eat great food, enjoy mocktails, & dance to the rhythms of your favs! (Bring your friends, we spent so much money on this XD)","Signature, Food, Party, Social",TRUE
Sunrise on Harvard Bridge,McCormick Hall,,McCormick Lobby and Harvard Bridge,8/28/2024 5:30,8/28/2024 6:30,"Get ready for an epic adventure (across the street) at Sunrise on Harvard Bridge! Rise and shine with us as we witness the most breathtaking sunrise in Boston. Kickstart your college adventure with breakfast, friends, and a picture-perfect sunrise.",Social,TRUE
Artsy Ice Cream,McCormick Hall,,McCormick Courtyard,8/29/2024 11:00,8/29/2024 12:30,"Why settle for regular ice cream when you can have BOSTON'S BEST? For multiple years, Tosci's has been voted by Bostonians to be the BEST and come see why! Come sample some ice cream, paint a mural, and chill with us!","Food, Social, Art",TRUE
McCormick Breakfast House,McCormick Hall,,McCormick Country Kitchen,8/29/2024 8:00,8/29/2024 10:00,Stop by to get your most important meal of the day- McCormick’s got you covered with waffles & fruit in the Country Kitchen!,"Food, Social",TRUE
Paint the Skyline,McCormick Hall,,McCormick East Penthouse,8/30/2024 12:30,8/30/2024 14:00,"What's better than free art supplies? Painting the best view in MIT with those supplies, of course! Come to the McCormick East Penthouse to get your creative juices flowing, paint, and make a keepsake.","Social, Art",TRUE
Movie night,Chocolate City,,Chocolate City Lounge,8/24/2024 20:00,8/24/2024 22:00,We will be hosting a movie night in the chocolate city lounge ,Social,TRUE
Ping Pong and Esquites,La Casa,,New House Arcade,8/26/2024 14:00,8/26/2024 15:30,Have you ever played ping-pong? Probably. Have you ever had an esquite? Also probably. Have you ever done both? Most likely not. Come make your own authentic esquite(s) with La Casa as you showcase your ping-pong skills!,"Signature, Food, Social, Games",TRUE
Tea Party and Fan Painting with the Junies!,Juniper,,Juniper Lounge,8/26/2024 19:30,8/26/2024 21:30,"Dearest Gentle Reader, are you looking to be the Diamond of the Season? Show off your skills to the queen with your fan-painting skills, and consume delectable treats as you socialize amongst the ton. ","Signature, Food, Social, Art",TRUE
Marvelous Melty Meal,French House,,French House (New House Floor 4),8/27/2024 12:00,8/27/2024 14:00,Relax with a raclette repas full of delicious melted cheese and chocolate fondue delights. You can indulge in a sweet and/or savory midday treat with your fellow frosh and vibe with the beautiful people of French House. ,"Food, Social",TRUE
Donuts and Documentaries,iHouse,,iHouse first floor lounge,8/27/2024 13:00,8/27/2024 15:00,Fill your bellies with knowledge and your brains with breakfast food! Or something like that,"Food, Social",TRUE
Game Night,French House,,French House Kitchen (New House Floor 4),8/27/2024 19:00,8/27/2024 21:00,"Come wind down with French House and enjoy fun board games and light refreshments! Enjoy chips, dips, and drinks while engaging in relaxing gameplay with current house members. Eat our food, ask us about life at French House, MIT, or anything else your mind could think of.","Food, Social, Games",TRUE
Waffel Nacht,German House,,German House Lounge,8/28/2024 21:00,8/28/2024 23:00,"it's late. you're hungry. waffle your way on down to german house! its like waffle house but german and not. (we have fruit, syrup, whipped cream, and whatever waffle companions your little heart desires)","Food, Social",TRUE
Boba and Karaoke with the Junies!,Juniper,,Juniper Lounge,8/28/2024 21:00,8/28/2024 23:00,"You’re working late, cuz you’re a singer! and you look so cute, wrapped ‘round our finger!  Sing your heart out like Sabrina Carpenter with the Junies in our karaoke event! Whether it be Beyonce, Adele, Megan Thee Stallion, or Fetty Wap, we are ready to hear your beautiful voice!","Food, Party, Social",TRUE
Just Dance,German House,,German House Lounge,8/29/2024 20:00,8/29/2024 22:00,Just Dance,"Social, Games",TRUE
Fried Rice Friday,iHouse,,iHouse kitchen,8/30/2024 19:00,8/30/2024 20:00,c o n s u m e; vegetarian and vegan friendly!,"Signature, Food",TRUE
La Casa FC Tryouts (Not really),La Casa,,Briggs Field,8/27/2024 13:00,8/27/2024 14:30,"Dream of playing for a top soccer team but decided to forgo that career to study at MIT? Try out for the next best thing at La Casa FC! Whether you're the next Messi or just found out what soccer is, join us for kicks, laughs, and maybe even some unexpected scouting!","Social, Games",TRUE
DIY & Hi!,New House,Desmond / House 5,Desmond Lounge (New House Floor 1),8/25/2024 20:00,8/25/2024 21:30,"Get crafty with DIY bracelets, charms, keychains and other crafts while saying hello to some new friends",Art,TRUE
Whatchu Waffling About,New House,Desmond / House 5,Desmond Lounge (New House Floor 1),8/26/2024 19:00,8/26/2024 20:30,Never too late for a waffle!,Food,TRUE
P41NT THE HOUSE DOWN,New House,House 4,House 4 Kitchen (New House floor 5),8/27/2024 12:00,8/27/2024 15:00,"House 4 needs some new wallpaper! Whether you're Picasso reincarnated or can't color inside the lines, join House 4 as we paint the house down (bootz). ","Signature, Social, Art",TRUE
New House 3 Dessert Bar,New House,New House 3,New House 3 Kitchen,8/27/2024 13:00,8/27/2024 15:30,"We'll be dishing up shaved ice, freshly made sago, and even have a matcha chocolate fountain. Come by for your favorite sweet treats and a great time with New House 3!","Signature, Food, Social",TRUE
Desmond's Favorite Passtimes,New House,Desmond / House 5,Desmond Lounge (New House Floor 1),8/27/2024 19:00,8/27/2024 20:30,"The Desmond bunch enjoys the classics. Come get to know us while playing some of our favorite games like FIFA, Smash Bros, and Secret Hitler",Games,TRUE
J4CKBOX+,New House,House 4,House 4 Kitchen,8/28/2024 19:00,8/28/2024 21:00,"Join house 4 in an intense tournament of Jackbox games. Or, if a grueling competition of wit isn’t your thing, play some classic board games while spectating and munching on some snacks. ","Food, Social, Games",TRUE
Switch it up with House 3,New House,New House 3,New House 3 Kitchen,8/28/2024 19:00,8/28/2024 22:00,Come play some switch games in our lounge (with snacks)!,"Food, Social, Games",TRUE
Explore NV,New Vassar,,New Vassar,8/24/2024 15:00,8/24/2024 15:45,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
Slice to Meet You,New Vassar,,New Vassar Mezzanine,8/24/2024 17:00,8/24/2024 18:30,Come to meet some new friends while eating pizza!,"Food, Social",TRUE
Explore NV,New Vassar,,New Vassar,8/25/2024 13:00,8/25/2024 13:45,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
Poker Tournament,New Vassar,,New Vassar Mezzanine,8/25/2024 20:00,8/25/2024 22:00,Feeling lucky? Participate in our infamous poker tournament!,"Signature, Social, Games",TRUE
New Vassar Street Waffles,New Vassar,,New Vassar Community Kitchen,8/25/2024 9:00,8/25/2024 10:30,Come and grab some breakfast and meet new friends!,"Food, Social",TRUE
Explore NV,New Vassar,,New Vassar,8/26/2024 15:00,8/26/2024 15:45,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
New Vassar Tournament Series: Ping-Pong,New Vassar,,New Vassar Game Room,8/26/2024 19:00,8/26/2024 21:00,"Come join us in a three part game tournament. For day one, break out your ping pong skills and try to win a prize!","Social, Games",TRUE
Laser Tag,New Vassar,,New Vassar Mezzanine,8/26/2024 21:30,8/26/2024 23:00,Get a tactical edge in the annual New Vassar Laser Tag competition!,"Social, Games",TRUE
Explore NV,New Vassar,,New Vassar,8/27/2024 13:00,8/27/2024 13:45,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
New Vassar Tournament Series: Pool,New Vassar,,New Vassar Game Room,8/27/2024 19:00,8/27/2024 21:00,"Come join us in a three part game tournament. For day two, break out your pool skills and try to win a prize!","Social, Games",TRUE
Karaoke,New Vassar,,New Vassar Mezzanine,8/27/2024 21:30,8/27/2024 22:30,Come sing your heart out to your favorite songs and make some new friends!,Social,TRUE
Get CrafTEA,New Vassar,,New Vassar Mezzanine,8/28/2024 16:30,8/28/2024 17:30,Unleash your creativity to make a custom cup of boba! ,"Food, Social",TRUE
New Vassar Tournament Series: Mini Golf,New Vassar,,New Vassar Game Room,8/28/2024 19:00,8/28/2024 21:00,"Come join us in a three part game tournament. For day three, break out your mini golf skills and try to win a prize!",Games,TRUE
College Classics,New Vassar,,New Vassar Mezzanine,8/28/2024 23:59,8/29/2024 1:00,Prepare to eat all of the college student midnight snack classics!,Food,TRUE
New Vassar Movie Night!,New Vassar,,New Vassar Mezzanine,8/29/2024 20:00,8/29/2024 22:00,Come chill with friends and watch a fun movie about the emotions living in our heads!,Social,TRUE
New Vassar Street Waffles,New Vassar,,New Vassar Country Kitchen,8/29/2024 9:00,8/29/2024 10:30,Come and grab some breakfast and meet new friends! ,Food,TRUE
Candyland Carnival,New Vassar,,New Vassar Game Room,8/30/2024 12:00,8/30/2024 13:45,"Play your favorite game, learn a new one, or grab a computer and game with new friends and sweet treats in the best game room on campus.",Social,TRUE
"ABBB: Ab Ripper, Brownies, Boba, and Board Games",Next House,5W,5W Main Lounge,8/26/2024 20:00,8/26/2024 22:00,"Have YOU ever wanted to simultaneously do an ab workout, play Catan, try our GRA's famous brownies, and drink boba? Have you ever wanted to just one of those things? If you have, join us for an evening of getting physically, mentally, and emotionally swole!","Food, Social, Games",TRUE
Fire & Ice I,Next House,,Next House Courtyard,8/25/2024 12:00,8/25/2024 14:00,Turns out smashing ice is quite therapeutic. Come vent and diy shaved ice with us.,Food,TRUE
Fire & Ice II,Next House,,Next House Country Kitchen,8/25/2024 16:00,8/25/2024 18:00,"Where was the fire in Fire & Ice I, you ask? Come eat spicy ramen with us and find out.",Food,TRUE
Bubble Tea Social,Next House,,Country Kitchen,8/25/2024 20:00,8/25/2024 22:00,"WHO DOESN'T LIKE BOBA??? Pull through to enjoy tapioca pearls with an assortment of beverages, jigsaw puzzles, and the company of current Nexties!",Food,TRUE
Make Your Own Pizza,Next House,,Next House Country Kitchen,8/26/2024 14:00,8/26/2024 16:00,Personal pizzas have never been this personal. Mix your own Italian soda to wash it down!,Food,TRUE
Mini Canvas Painting,Next House,,Country Kitchen,8/26/2024 19:00,8/26/2024 21:00,"Join our very own paint bar in capturing scenic skylines, signs, and sunsets seen on campus! Refreshments and supplies provided. Artistic talent optional.","Social, Art",TRUE
Next Haunt - Haunted Escape Room!,Next House,Next House,Next House Dining (+ PDR),8/26/2024 20:00,8/26/2024 23:00,"👻👻👻👻  Are you excited for Halloween? Yes, it's August, but ARE YOU EXCITED FOR HALLOWEEN? Or are you interested in spooky treats, clever tricks, and/or making new friends and winning with them? Then swing by Next Haunt's booth, where we'll have tons of snacks and candy, puzzles to solve for prizes, and maybe a little bit of spo0kiness! Next Haunt is a student group out of Next House that designs and builds a real-life haunted escape room every Halloween. We design puzzles, construct the building, make art, do makeup, and SCARE the poor souls who try to run our house, and we're always looking for volunteers, especially during the fall semester. No experience is required for any positions, so if any of this sounds interesting to you, please stop by the Next House dining hall this evening and say hi while enjoying the food and prizes!  👻👻👻👻","Food, Social, Games",TRUE
Mamma Mia! watch party,Next House,4W,4W Main Lounge,8/26/2024 20:00,8/26/2024 22:00,"Come watch and sing along to the absolutely fantastic 2008 movie musical, Mamma Mia! There will be snacks!",Social,TRUE
2W: Sussy lassi,Next House,2W,Next House Country Kitchen,8/26/2024 21:00,8/26/2024 22:00,"Come to 2W’s Lassi* 🥛 Bar! Enjoy carefully curated concoctions from the delicious 😍 to the downright dastardly 😈. Try to guess our mystery flavor 👀. We’ll have funny fruits 🥑, fishy 🐟 flavorings and the best vibes 🧡. *Flavored yogurt drink. **Lactose-free options available","Food, Social, Games, Art",TRUE
Movie Meltdown,Next House,,Next House TFL,8/26/2024 22:00,8/27/2024 1:00,"Because we'll all collectively be having a meltdown while watching ✨ classics ✨ such as Twilight, Bee Movie, and The Room. Enjoy a slice while you cringe.","Food, Social",TRUE
Lying Down on the Carpet,Next House,,Basement,8/26/2024 23:00,8/27/2024 1:00,"Pillows. A carpet. Hot chocolate. Maybe chill music and card games. No thoughts, just vibes.","Social, Games",TRUE
Bouncy Carnival,Next House,,Next House Courtyard,8/27/2024 11:30,8/27/2024 14:30,Tired of bouncing around from event to event? Bounce around in our bounce house! Or hang out and enjoy some carnival snacks.,Party,TRUE
Next House Tour,Next House,,Next House Lobby,8/27/2024 13:00,8/27/2024 14:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more!",Tour,TRUE
Next Sing Open Rehearsal,Next House,,Next House Lobby,8/27/2024 13:00,8/27/2024 14:00,Sing an acapella piece with Next Sing! No experience necessary!! We will provide sheet music :D,"Social, Art",TRUE
Re-re-rejected REX Ideas,Next House,4W,4W Main Lounge,8/27/2024 13:00,8/27/2024 15:00,"Running our re-re-rejected ideas. ? drawing competition: ""not a drawing competition of a ? subject, but a drawing competition of ?s"". 2000 piece puzzle: “press puzzling pieces to produce picture of phenomenal people”. Cities quiz: ""name many, many cities"". Mural painting! snaccs!","Signature, Social, Games",TRUE
"A Next House Far, Far Away",Next House,,Next House Courtyard,8/27/2024 19:00,8/27/2024 20:30,"Have you ever wanted to pretend you're Luke Skywalker, saving the galaxy from imminent doom? Or Darth Vader, intent on destroying it? Live out your Star Wars dreams with a lightsaber tournament, costumes, and space-themed snacks today!",Social,TRUE
Fire (no ice),Next House,3 West,Next House 3 West Main Lounge,8/27/2024 19:00,8/27/2024 20:00,Come eat hot chicken. We will provide no relief from the pain. Bring your own milk.,Food,TRUE
two east sushi & café,Next House,Next 2E,2E main lounge in next house,8/27/2024 19:57,8/27/2024 20:57,"make sushi hand rolls, sip on made-to-order matcha lattes and coffee, and chat with nexties in 2e's cozy main lounge!","Food, Social",TRUE
Weird Milkshakes,Next House,,Next House Country Kitchen,8/27/2024 20:00,8/27/2024 21:30,"Ah yes, the perfect milkshake! We've got ice cream, chocolate syrup, ...soy sauce??? ",Food,TRUE
2W: Fort building and lore telling,Next House,2W,Next House 2 West Main Lounge,8/27/2024 21:00,8/27/2024 22:30,Come help build a cozy fort ⛺️ in our main lounge and vibe with us while we tell silly stories 🎤 about our wing and eat snacks! 😋,"Food, Social",TRUE
Poker Chips and Chips,Next House,,Private Dining Room,8/27/2024 22:00,8/28/2024 1:00,"Craving a late-night snack? Want to learn how to play poker in a casual, low-stakes setting? Both? Come feast on chips with Next House's poker enthusiasts! (just don't eat the poker chips)","Food, Games",TRUE
Next Sing Karaoke,Next House,,Next House Basement,8/27/2024 23:00,8/28/2024 1:00,come participate in the classic next house activity of staying up and singing 2010’s music until ungodly hours of the night !!,"Party, Social",TRUE
Midnight Pancakes,Next House,,Next House Country Kitchen,8/27/2024 23:00,8/28/2024 1:00,Come to one of Next House's signature events following a warm wholesome karaoke session. Catch pancakes in the Next House country kitchen (literally)! Chill and talk to Nexties!,"Signature, Food",TRUE
Fruit Anarchy,Next House,4 East,Next House Courtyard,8/28/2024 16:30,8/28/2024 17:30,One of the only times you’re encouraged to play with your food! We got lots of fruit to do whatever you want (within legal boundaries),"Food, Social",TRUE
Smash with Strange Controllers,Next House,,Next House 4 East Main Lounge,8/28/2024 21:00,8/28/2024 23:00,Smash...with a guitar hero controller??,Games,TRUE
Twilight Marathon,Random Hall,Destiny,Destiny Lounge,8/25/2024 11:47,8/25/2024 17:47,"Come watch all 5 twilight movies with us. Learn about TITSOAK, cracking open ""cold ones,"" and imprinting on newborn babies. Some snacks will be provided. If you aren't coming to this event then where the hell are you, loca? ",Social,TRUE
Twilight Marathon,Random Hall,Destiny,Destiny Lounge,8/25/2024 20:17,8/25/2024 22:47,"Come watch all 5 twilight movies with us. Learn about TITSOAK, cracking open ""cold ones,"" and imprinting on newborn babies. Some snacks will be provided. If you aren't coming to this event then where the hell are you, loca? ",Social,TRUE
Queer Ladies’ Movie Night,Random Hall,Loop,Loop Lounge,8/28/2024 19:17,8/28/2024 22:17,Are you queer? Are you a lady? Do you like cookies? Are you none of the above but want to watch a sapphic movie and meet new friends? Then come to Queer Ladies’ Movie Night! ,"Food, Social",TRUE
Sapphic Cartoons and Smoothies in the Plushie Pile,Random Hall,Clam,Clam,8/27/2024 12:47,8/27/2024 15:17,"Are you sapphic? Do you like cartoons? Do you like plushies? If you answered yes to any of these questions (or just want to watch cartoons and meet new friends), then you should come to this event! ","Food, Social",TRUE
Lindor Butler Academy,Random Hall,Black Hole ,Black Hole Kitchen,8/30/2024 12:17,8/30/2024 13:47,"Come hone your butlering skills at the Lindor butler academy. Learn to serve chocolate, and indulge in some yourself.",Social,TRUE
Holey Moly,Random Hall,Bonfire,Bonfire Lounge,8/30/2024 13:17,8/30/2024 14:17,"Come hang out and learn about topology - the mathematical study of shapes - while eating hole-themed food. Learn about counting holes (and co-holes??), knots, and homeomorphisms","Food, Social",TRUE
Pasta Phriday,Random Hall,Clam,Clam,8/30/2024 19:17,8/30/2024 19:47,"We are drowning in spaghetti. Please save us from this situation by eating all the pasta. (meatballs, chickpeas and spinach for plant lovers are provided)",Food,TRUE
Befoul Our Walls,Random Hall,Black Hole,Black Hole Kitchen,8/24/2024 18:17,8/24/2024 20:17,The Black Hole floor has a policy that anyone can draw anything on our walls whenever they want and however they want. Come over and add to our wonderful menagerie of meaningless 2am poems and Cthulhu murals!,"Social, Art",TRUE
Tako Takoyaki Time,Random Hall,BMF,BMF Kitchen,8/24/2024 19:17,8/24/2024 21:17,"Come eat some tasty octopus balls made by yours truly, BMF 🐙🐙🐙🐙","Food, Social",TRUE
Bagels & Locks,Random Hall,Black Hole,Black Hole Kitchen,8/25/2024 10:17,8/25/2024 11:17,pick bagels and eat locks. or eat picks and lock bagels? learn how to pick LOCKS locks and BAGELS bagels mmmmmm nom nom monch cronch ,"Food, Social",TRUE
Let's Play! Puzzle Game(s),Random Hall,Pecker,Pecker Kitchen,8/25/2024 10:17,8/25/2024 12:47,Backseat us and eat food while we blindly stumble through neuron-activating video games like Counterfeit Monkey and Chants of Senaar!,"Food, Social, Games",TRUE
Will It Waffle?,Random Hall,Bonfire,Bonfire Kitchen,8/25/2024 11:17,8/25/2024 13:17,do marshmallows belong in a waffle? how about cheese? swedish fish? seaweed? come try out the endless possibilities and make the most delicious unholy waffle concoction! (traditional ingredients/toppings will also be available),"Food, Social",TRUE
Burrito Building,Random Hall,Clam,Clam,8/25/2024 20:17,8/25/2024 21:47,build your own burrito yay,Food,TRUE
Hyperbolic Crochet,Random Hall,Pecker,Pecker Lounge,8/25/2024 14:17,8/25/2024 16:17,come crochet hyperbolic objects!!! no experience required :D and you get a cool object! we will also have Tea and Friends and potentially Differential Geometry of Crochet,"Social, Art",TRUE
free taro(t readings?)!,Random Hall,Clam,Clam,8/25/2024 15:17,8/25/2024 17:47,wanna learn your future? your fortune? you thirsty? come drink some taro (or other flavors of boba) as the taro(t) reveals your fate >:3,"Food, Social",TRUE
BYOP (Build Your Own Pizza),Random Hall,Loop,Loop Kitchen,8/25/2024 15:47,8/25/2024 17:47,"Pizza just doesn't get any better than when you make it yourself! Come choose from a truly ludicrous number of toppings and try your hand at tossing pizza dough. Pineapple pizza, pickle pizza, pesto pizza, pizza for dessert?!?  Vegan and gluten-free options available.",Food,TRUE
tortillas and jazz,Random Hall,Bonfire,Bonfire Kitchen,8/25/2024 20:07,8/25/2024 21:17,make tortillas and listen to a combination of bebop/cool/latin/big band/blues jazz,"Food, Social",TRUE
Applied Knot Theory,Random Hall,Pecker,Pecker Lounge,8/25/2024 20:47,8/25/2024 22:17,"A practical introduction to the art, mathematics, and philosophy of tying pretty people up with pretty knots. WARNING: This event can expose you to adult-themed conversations, which are known to the State of California to cause discomfort in select individuals.",Social,TRUE
roofdeck movies all* night,Random Hall,,Roofdeck,8/25/2024 22:17,8/26/2024 4:17,come chill on the random hall roofdeck and watch movies as we project them onto the side of a biotech building (*at least until the sleepy hits),"Food, Social",TRUE
Pants Pants Revolution,Random Hall,Black Hole,Black Hole,8/26/2024 14:17,8/26/2024 15:47,"Dance Dance Revolution + pants + pants + pants + pants + pants = maybe a fun time? Come help us find out! No prior DDR experience required, nor prior pants-wearing experience. Viva la revolucíon!","Food, Social",TRUE
eat your (asian) veggies,Random Hall,Clam,Clam Kitchen,8/26/2024 14:17,8/26/2024 15:47,"eat the vegetables you will never find at a walmart or dining hall and maybe didn't even know the english names for. examples include water spinach, opo squash, and lotus root in bone broth. ",Food,TRUE
Find Your Real Life D&D Ability Scores!,Random Hall,Bonfire Lounge,Bonfire Lounge,8/26/2024 14:47,8/26/2024 15:47,Come take quizzes and do challenges with us to find your Dungeons and Dragons stats! There may even be pretty dice to look at 🎲,"Social, Games",TRUE
Nekomimi Maid Cafe,Random Hall,Foo,Foo Kitchen,8/26/2024 19:17,8/26/2024 21:17,Come to Random to be served delicious food by maids with cat ears! kawaii neko maid cafe (=^-.-^=)/ nyaa~,"Signature, Food, Social",TRUE
Gotta Catch Em All! Film Festival!*,Random Hall,,AIW,8/26/2024 19:17,8/27/2024 00:47,"""Meet the denizens of a world of myth and mystique. A place where elemental beings who hail from before the dawn of time and space are commonplace. A place where our wildest visions take shape into realities yet wilder. And you can even pet them!  *Festival not included""","Food, Social",TRUE
Bonfire pillow fort,Random Hall,Bonfire,Bonfire Lounge,8/26/2024 22:17,8/26/2024 23:47,"Rest your weary feet in a palace of blankets and pillows fit for royalty (but only after building it yourself, of course ;) ) Then bask in your accomplishments with plenty of friends, snacks, and MIT secrets to keep you company","Food, Social",TRUE
coffeehouse,Random Hall,Pecker,Pecker Kitchen,8/26/2024 8:17,8/26/2024 11:00,"get your coffee! or don't; there's matcha and hot chocolate too. whatever you prefer, come snuggle up with a warm drink to start the week off <3",Food,TRUE
Spilling the Gongfu Tea,Random Hall,Loop,Loop Kitchen,8/27/2024 11:47,8/27/2024 13:17,"Gongfu style tea, originating from China, involves multiple quick steeps with high quality tea leaves. Come experiment with this ancient style of tea, along with western methods for a delightful experience!","Food, Social",TRUE
Pierogi Power Hour,Random Hall,Bonfire,Bonfire Kitchen,8/27/2024 11:47,8/27/2024 13:47,"Did your babtsya never teach you how to make pierogies or varenyky? Don't worry! We'll be your local grandmothers and show you the Ukrainian way, with blueberries and cheese","Food, Social",TRUE
